what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_0",1266531193996
java.vm.info,sysinfo,,,"mixed mode, sharing",1266531193996
java.vm.name,sysinfo,,,"OpenJDK Client VM",1266531193996
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1266531193996
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266531193996
java.vm.specification.version,sysinfo,,,"1.0",1266531193996
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1266531193996
java.vm.version,sysinfo,,,"14.0-b08",1266531193996
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1266531195082
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1266531196058
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266531196935
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1266531197591
started,bundle,org.eclipse.pde.build,3.5.1.R35x_20090820,"org.eclipse.pde.build",1266531198347
